sample_id,highway,lat,lng,class_id,distress_type,confidence,u_min,v_min,width,height,weather
RDD-IND-00197,NH-44 KM 108.4,28.9393,77.2789,3,D20_Alligator,0.974,0.294,0.359,0.162,0.184,Monsoon Rain
RDD-IND-00198,NH-48 KM 214.2,28.9405,77.2798,4,D40_Pothole,0.989,0.107,0.512,0.33,0.235,Sunny Daylight
RDD-IND-00199,NH-66 KM 45.1,28.9417,77.2807,4,D40_Pothole,0.988,0.149,0.671,0.271,0.226,Night Sodium
RDD-IND-00200,Mumbai-Pune Exp KM 88.0,28.9429,77.2816,4,D40_Pothole,0.979,0.364,0.742,0.195,0.105,Overcast
RDD-IND-00201,NH-44 KM 108.4,28.9441,77.2825,3,D20_Alligator,0.966,0.646,0.422,0.236,0.146,Monsoon Rain
RDD-IND-00202,NH-48 KM 214.2,28.9453,77.2834,0,Normal,0.917,0.128,0.692,0.203,0.125,Sunny Daylight
RDD-IND-00203,NH-66 KM 45.1,28.9465,77.2843,0,Normal,0.924,0.608,0.672,0.093,0.09,Night Sodium
RDD-IND-00204,Mumbai-Pune Exp KM 88.0,28.9477,77.2852,4,D40_Pothole,0.989,0.656,0.531,0.237,0.096,Overcast
RDD-IND-00205,NH-44 KM 108.4,28.9489,77.2861,3,D20_Alligator,0.963,0.577,0.314,0.318,0.14,Monsoon Rain
RDD-IND-00206,NH-48 KM 214.2,28.9501,77.287,0,Normal,0.911,0.376,0.622,0.217,0.177,Sunny Daylight
RDD-IND-00207,NH-66 KM 45.1,28.9513,77.2879,0,Normal,0.919,0.312,0.49,0.101,0.213,Night Sodium
RDD-IND-00208,Mumbai-Pune Exp KM 88.0,28.9525,77.2888,3,D20_Alligator,0.968,0.26,0.391,0.323,0.067,Overcast
RDD-IND-00209,NH-44 KM 108.4,28.9537,77.2897,0,Normal,0.91,0.183,0.383,0.207,0.25,Monsoon Rain
RDD-IND-00210,NH-48 KM 214.2,28.9549,77.2906,0,Normal,0.924,0.139,0.314,0.127,0.236,Sunny Daylight
RDD-IND-00211,NH-66 KM 45.1,28.9561,77.2915,2,D10_Lateral,0.958,0.241,0.556,0.272,0.172,Night Sodium
RDD-IND-00212,Mumbai-Pune Exp KM 88.0,28.9573,77.2924,3,D20_Alligator,0.971,0.241,0.639,0.221,0.071,Overcast
RDD-IND-00213,NH-44 KM 108.4,28.9585,77.2933,3,D20_Alligator,0.967,0.595,0.34,0.181,0.179,Monsoon Rain
RDD-IND-00214,NH-48 KM 214.2,28.9597,77.2942,1,D00_Longitudinal,0.93,0.462,0.766,0.126,0.153,Sunny Daylight
RDD-IND-00215,NH-66 KM 45.1,28.9609,77.2951,3,D20_Alligator,0.973,0.325,0.721,0.35,0.23,Night Sodium
RDD-IND-00216,Mumbai-Pune Exp KM 88.0,28.9621,77.296,1,D00_Longitudinal,0.931,0.329,0.314,0.133,0.091,Overcast
RDD-IND-00217,NH-44 KM 108.4,28.9633,77.2969,1,D00_Longitudinal,0.939,0.622,0.782,0.166,0.075,Monsoon Rain
RDD-IND-00218,NH-48 KM 214.2,28.9645,77.2978,3,D20_Alligator,0.976,0.692,0.334,0.102,0.233,Sunny Daylight
RDD-IND-00219,NH-66 KM 45.1,28.9657,77.2987,3,D20_Alligator,0.967,0.648,0.633,0.116,0.154,Night Sodium
RDD-IND-00220,Mumbai-Pune Exp KM 88.0,28.9669,77.2996,4,D40_Pothole,0.985,0.103,0.34,0.262,0.097,Overcast
RDD-IND-00221,NH-44 KM 108.4,28.9681,77.3005,3,D20_Alligator,0.968,0.6,0.732,0.115,0.099,Monsoon Rain
RDD-IND-00222,NH-48 KM 214.2,28.9693,77.3014,3,D20_Alligator,0.96,0.307,0.455,0.311,0.204,Sunny Daylight
RDD-IND-00223,NH-66 KM 45.1,28.9705,77.3023,0,Normal,0.918,0.679,0.699,0.109,0.084,Night Sodium
RDD-IND-00224,Mumbai-Pune Exp KM 88.0,28.9717,77.3032,1,D00_Longitudinal,0.942,0.236,0.677,0.329,0.182,Overcast
RDD-IND-00225,NH-44 KM 108.4,28.9729,77.3041,1,D00_Longitudinal,0.933,0.251,0.794,0.246,0.138,Monsoon Rain
RDD-IND-00226,NH-48 KM 214.2,28.9741,77.305,1,D00_Longitudinal,0.931,0.364,0.556,0.154,0.147,Sunny Daylight
RDD-IND-00227,NH-66 KM 45.1,28.9753,77.3059,4,D40_Pothole,0.996,0.407,0.646,0.283,0.245,Night Sodium
RDD-IND-00228,Mumbai-Pune Exp KM 88.0,28.9765,77.3068,1,D00_Longitudinal,0.945,0.191,0.771,0.137,0.159,Overcast
RDD-IND-00229,NH-44 KM 108.4,28.9777,77.3077,4,D40_Pothole,0.989,0.176,0.597,0.129,0.235,Monsoon Rain
RDD-IND-00230,NH-48 KM 214.2,28.9789,77.3086,3,D20_Alligator,0.966,0.308,0.54,0.174,0.055,Sunny Daylight
RDD-IND-00231,NH-66 KM 45.1,28.9801,77.3095,4,D40_Pothole,0.98,0.445,0.677,0.284,0.174,Night Sodium
RDD-IND-00232,Mumbai-Pune Exp KM 88.0,28.9813,77.3104,2,D10_Lateral,0.954,0.486,0.45,0.221,0.172,Overcast
RDD-IND-00233,NH-44 KM 108.4,28.9825,77.3113,3,D20_Alligator,0.961,0.14,0.493,0.117,0.063,Monsoon Rain
RDD-IND-00234,NH-48 KM 214.2,28.9837,77.3122,2,D10_Lateral,0.953,0.154,0.64,0.311,0.081,Sunny Daylight
RDD-IND-00235,NH-66 KM 45.1,28.9849,77.3131,0,Normal,0.927,0.687,0.725,0.268,0.127,Night Sodium
RDD-IND-00236,Mumbai-Pune Exp KM 88.0,28.9861,77.314,3,D20_Alligator,0.974,0.548,0.648,0.331,0.129,Overcast
RDD-IND-00237,NH-44 KM 108.4,28.9873,77.3149,1,D00_Longitudinal,0.935,0.225,0.518,0.266,0.112,Monsoon Rain
RDD-IND-00238,NH-48 KM 214.2,28.9885,77.3158,0,Normal,0.912,0.57,0.733,0.149,0.149,Sunny Daylight
RDD-IND-00239,NH-66 KM 45.1,28.9897,77.3167,3,D20_Alligator,0.967,0.605,0.531,0.321,0.194,Night Sodium
RDD-IND-00240,Mumbai-Pune Exp KM 88.0,28.9909,77.3176,0,Normal,0.926,0.154,0.736,0.091,0.222,Overcast
RDD-IND-00241,NH-44 KM 108.4,28.9921,77.3185,4,D40_Pothole,0.993,0.157,0.737,0.159,0.119,Monsoon Rain
RDD-IND-00242,NH-48 KM 214.2,28.9933,77.3194,4,D40_Pothole,0.994,0.534,0.483,0.164,0.206,Sunny Daylight
RDD-IND-00243,NH-66 KM 45.1,28.9945,77.3203,4,D40_Pothole,0.991,0.651,0.716,0.259,0.138,Night Sodium
RDD-IND-00244,Mumbai-Pune Exp KM 88.0,28.9957,77.3212,1,D00_Longitudinal,0.943,0.134,0.647,0.14,0.19,Overcast
RDD-IND-00245,NH-44 KM 108.4,28.9969,77.3221,0,Normal,0.911,0.448,0.646,0.305,0.205,Monsoon Rain
RDD-IND-00246,NH-48 KM 214.2,28.9981,77.323,4,D40_Pothole,0.992,0.112,0.523,0.292,0.232,Sunny Daylight
RDD-IND-00247,NH-66 KM 45.1,28.9993,77.3239,2,D10_Lateral,0.948,0.544,0.33,0.302,0.102,Night Sodium
RDD-IND-00248,Mumbai-Pune Exp KM 88.0,29.0005,77.3248,4,D40_Pothole,0.995,0.137,0.345,0.214,0.234,Overcast
RDD-IND-00249,NH-44 KM 108.4,29.0017,77.3257,4,D40_Pothole,0.995,0.14,0.348,0.12,0.23,Monsoon Rain
RDD-IND-00250,NH-48 KM 214.2,29.0029,77.3266,4,D40_Pothole,0.985,0.106,0.638,0.3,0.105,Sunny Daylight
RDD-IND-00251,NH-66 KM 45.1,29.0041,77.3275,1,D00_Longitudinal,0.936,0.153,0.303,0.127,0.239,Night Sodium
RDD-IND-00252,Mumbai-Pune Exp KM 88.0,29.0053,77.3284,1,D00_Longitudinal,0.944,0.53,0.31,0.114,0.218,Overcast
RDD-IND-00253,NH-44 KM 108.4,29.0065,77.3293,4,D40_Pothole,0.985,0.538,0.308,0.345,0.174,Monsoon Rain
RDD-IND-00254,NH-48 KM 214.2,29.0077,77.3302,1,D00_Longitudinal,0.938,0.445,0.778,0.281,0.111,Sunny Daylight
RDD-IND-00255,NH-66 KM 45.1,29.0089,77.3311,0,Normal,0.925,0.405,0.375,0.261,0.055,Night Sodium
RDD-IND-00256,Mumbai-Pune Exp KM 88.0,29.0101,77.332,3,D20_Alligator,0.959,0.64,0.431,0.275,0.18,Overcast
RDD-IND-00257,NH-44 KM 108.4,29.0113,77.3329,4,D40_Pothole,0.992,0.194,0.303,0.331,0.187,Monsoon Rain
RDD-IND-00258,NH-48 KM 214.2,29.0125,77.3338,3,D20_Alligator,0.971,0.201,0.5,0.175,0.117,Sunny Daylight
RDD-IND-00259,NH-66 KM 45.1,29.0137,77.3347,3,D20_Alligator,0.96,0.375,0.519,0.221,0.219,Night Sodium
RDD-IND-00260,Mumbai-Pune Exp KM 88.0,29.0149,77.3356,0,Normal,0.919,0.275,0.327,0.094,0.184,Overcast
RDD-IND-00261,NH-44 KM 108.4,29.0161,77.3365,3,D20_Alligator,0.964,0.115,0.726,0.093,0.095,Monsoon Rain
RDD-IND-00262,NH-48 KM 214.2,29.0173,77.3374,4,D40_Pothole,0.997,0.47,0.566,0.341,0.115,Sunny Daylight
RDD-IND-00263,NH-66 KM 45.1,29.0185,77.3383,0,Normal,0.922,0.655,0.623,0.249,0.204,Night Sodium
RDD-IND-00264,Mumbai-Pune Exp KM 88.0,29.0197,77.3392,2,D10_Lateral,0.956,0.187,0.55,0.284,0.11,Overcast
RDD-IND-00265,NH-44 KM 108.4,29.0209,77.3401,4,D40_Pothole,0.987,0.376,0.577,0.192,0.1,Monsoon Rain
RDD-IND-00266,NH-48 KM 214.2,29.0221,77.341,3,D20_Alligator,0.975,0.425,0.708,0.135,0.132,Sunny Daylight
RDD-IND-00267,NH-66 KM 45.1,29.0233,77.3419,3,D20_Alligator,0.971,0.519,0.692,0.178,0.109,Night Sodium
RDD-IND-00268,Mumbai-Pune Exp KM 88.0,29.0245,77.3428,3,D20_Alligator,0.972,0.191,0.441,0.252,0.168,Overcast
RDD-IND-00269,NH-44 KM 108.4,29.0257,77.3437,1,D00_Longitudinal,0.942,0.552,0.692,0.117,0.106,Monsoon Rain
RDD-IND-00270,NH-48 KM 214.2,29.0269,77.3446,1,D00_Longitudinal,0.936,0.419,0.666,0.175,0.17,Sunny Daylight
RDD-IND-00271,NH-66 KM 45.1,29.0281,77.3455,4,D40_Pothole,0.981,0.296,0.469,0.25,0.239,Night Sodium
RDD-IND-00272,Mumbai-Pune Exp KM 88.0,29.0293,77.3464,4,D40_Pothole,0.981,0.178,0.703,0.222,0.246,Overcast
RDD-IND-00273,NH-44 KM 108.4,29.0305,77.3473,4,D40_Pothole,0.986,0.444,0.677,0.167,0.2,Monsoon Rain
RDD-IND-00274,NH-48 KM 214.2,29.0317,77.3482,4,D40_Pothole,0.99,0.653,0.493,0.223,0.148,Sunny Daylight
RDD-IND-00275,NH-66 KM 45.1,29.0329,77.3491,2,D10_Lateral,0.955,0.171,0.665,0.081,0.143,Night Sodium
RDD-IND-00276,Mumbai-Pune Exp KM 88.0,29.0341,77.35,2,D10_Lateral,0.954,0.533,0.447,0.155,0.212,Overcast
RDD-IND-00277,NH-44 KM 108.4,29.0353,77.3509,4,D40_Pothole,0.98,0.288,0.665,0.286,0.098,Monsoon Rain
RDD-IND-00278,NH-48 KM 214.2,29.0365,77.3518,3,D20_Alligator,0.967,0.626,0.484,0.343,0.192,Sunny Daylight
RDD-IND-00279,NH-66 KM 45.1,29.0377,77.3527,3,D20_Alligator,0.972,0.596,0.792,0.236,0.242,Night Sodium
RDD-IND-00280,Mumbai-Pune Exp KM 88.0,29.0389,77.3536,4,D40_Pothole,0.98,0.178,0.795,0.195,0.151,Overcast
RDD-IND-00281,NH-44 KM 108.4,29.0401,77.3545,4,D40_Pothole,0.988,0.298,0.408,0.201,0.155,Monsoon Rain
RDD-IND-00282,NH-48 KM 214.2,29.0413,77.3554,1,D00_Longitudinal,0.94,0.502,0.62,0.243,0.232,Sunny Daylight
RDD-IND-00283,NH-66 KM 45.1,29.0425,77.3563,1,D00_Longitudinal,0.943,0.294,0.398,0.163,0.216,Night Sodium
RDD-IND-00284,Mumbai-Pune Exp KM 88.0,29.0437,77.3572,0,Normal,0.918,0.101,0.5,0.12,0.13,Overcast
RDD-IND-00285,NH-44 KM 108.4,29.0449,77.3581,3,D20_Alligator,0.961,0.245,0.715,0.083,0.101,Monsoon Rain
RDD-IND-00286,NH-48 KM 214.2,29.0461,77.359,0,Normal,0.913,0.28,0.661,0.333,0.192,Sunny Daylight
RDD-IND-00287,NH-66 KM 45.1,29.0473,77.3599,2,D10_Lateral,0.951,0.694,0.375,0.254,0.057,Night Sodium
RDD-IND-00288,Mumbai-Pune Exp KM 88.0,29.0485,77.3608,2,D10_Lateral,0.958,0.488,0.577,0.287,0.072,Overcast
RDD-IND-00289,NH-44 KM 108.4,29.0497,77.3617,1,D00_Longitudinal,0.935,0.262,0.325,0.286,0.108,Monsoon Rain
RDD-IND-00290,NH-48 KM 214.2,29.0509,77.3626,3,D20_Alligator,0.962,0.193,0.466,0.294,0.221,Sunny Daylight
RDD-IND-00291,NH-66 KM 45.1,29.0521,77.3635,0,Normal,0.913,0.627,0.688,0.217,0.24,Night Sodium
RDD-IND-00292,Mumbai-Pune Exp KM 88.0,29.0533,77.3644,0,Normal,0.913,0.424,0.476,0.322,0.205,Overcast
RDD-IND-00293,NH-44 KM 108.4,29.0545,77.3653,4,D40_Pothole,0.982,0.515,0.354,0.116,0.131,Monsoon Rain
RDD-IND-00294,NH-48 KM 214.2,29.0557,77.3662,1,D00_Longitudinal,0.942,0.29,0.478,0.278,0.16,Sunny Daylight
RDD-IND-00295,NH-66 KM 45.1,29.0569,77.3671,0,Normal,0.921,0.346,0.448,0.231,0.227,Night Sodium
RDD-IND-00296,Mumbai-Pune Exp KM 88.0,29.0581,77.368,2,D10_Lateral,0.956,0.232,0.72,0.194,0.208,Overcast
RDD-IND-00297,NH-44 KM 108.4,29.0593,77.3689,4,D40_Pothole,0.978,0.108,0.761,0.165,0.155,Monsoon Rain
RDD-IND-00298,NH-48 KM 214.2,29.0605,77.3698,1,D00_Longitudinal,0.929,0.228,0.336,0.099,0.11,Sunny Daylight
RDD-IND-00299,NH-66 KM 45.1,29.0617,77.3707,3,D20_Alligator,0.965,0.273,0.634,0.135,0.064,Night Sodium
RDD-IND-00300,Mumbai-Pune Exp KM 88.0,29.0629,77.3716,0,Normal,0.918,0.145,0.737,0.167,0.167,Overcast
RDD-IND-00301,NH-44 KM 108.4,29.0641,77.3725,0,Normal,0.915,0.459,0.708,0.322,0.241,Monsoon Rain
RDD-IND-00302,NH-48 KM 214.2,29.0653,77.3734,2,D10_Lateral,0.957,0.355,0.64,0.206,0.129,Sunny Daylight
RDD-IND-00303,NH-66 KM 45.1,29.0665,77.3743,2,D10_Lateral,0.958,0.26,0.492,0.118,0.066,Night Sodium
RDD-IND-00304,Mumbai-Pune Exp KM 88.0,29.0677,77.3752,3,D20_Alligator,0.966,0.43,0.687,0.27,0.12,Overcast
RDD-IND-00305,NH-44 KM 108.4,29.0689,77.3761,3,D20_Alligator,0.974,0.483,0.358,0.323,0.175,Monsoon Rain
RDD-IND-00306,NH-48 KM 214.2,29.0701,77.377,4,D40_Pothole,0.996,0.135,0.32,0.17,0.196,Sunny Daylight
RDD-IND-00307,NH-66 KM 45.1,29.0713,77.3779,2,D10_Lateral,0.955,0.336,0.756,0.115,0.107,Night Sodium
RDD-IND-00308,Mumbai-Pune Exp KM 88.0,29.0725,77.3788,1,D00_Longitudinal,0.938,0.233,0.742,0.175,0.054,Overcast
RDD-IND-00309,NH-44 KM 108.4,29.0737,77.3797,4,D40_Pothole,0.98,0.262,0.793,0.333,0.158,Monsoon Rain
RDD-IND-00310,NH-48 KM 214.2,29.0749,77.3806,1,D00_Longitudinal,0.934,0.696,0.59,0.33,0.233,Sunny Daylight
RDD-IND-00311,NH-66 KM 45.1,29.0761,77.3815,2,D10_Lateral,0.949,0.299,0.456,0.082,0.148,Night Sodium
RDD-IND-00312,Mumbai-Pune Exp KM 88.0,29.0773,77.3824,0,Normal,0.917,0.657,0.58,0.117,0.195,Overcast
RDD-IND-00313,NH-44 KM 108.4,29.0785,77.3833,0,Normal,0.912,0.495,0.505,0.317,0.063,Monsoon Rain
RDD-IND-00314,NH-48 KM 214.2,29.0797,77.3842,4,D40_Pothole,0.995,0.125,0.659,0.119,0.161,Sunny Daylight
RDD-IND-00315,NH-66 KM 45.1,29.0809,77.3851,4,D40_Pothole,0.984,0.168,0.309,0.249,0.174,Night Sodium
RDD-IND-00316,Mumbai-Pune Exp KM 88.0,29.0821,77.386,3,D20_Alligator,0.971,0.26,0.769,0.266,0.236,Overcast
RDD-IND-00317,NH-44 KM 108.4,29.0833,77.3869,2,D10_Lateral,0.946,0.302,0.499,0.268,0.189,Monsoon Rain
RDD-IND-00318,NH-48 KM 214.2,29.0845,77.3878,0,Normal,0.925,0.552,0.582,0.256,0.233,Sunny Daylight
RDD-IND-00319,NH-66 KM 45.1,29.0857,77.3887,0,Normal,0.924,0.69,0.628,0.115,0.228,Night Sodium
RDD-IND-00320,Mumbai-Pune Exp KM 88.0,29.0869,77.3896,1,D00_Longitudinal,0.932,0.295,0.736,0.189,0.125,Overcast
RDD-IND-00321,NH-44 KM 108.4,29.0881,77.3905,2,D10_Lateral,0.958,0.37,0.592,0.142,0.092,Monsoon Rain
RDD-IND-00322,NH-48 KM 214.2,29.0893,77.3914,3,D20_Alligator,0.973,0.165,0.61,0.23,0.08,Sunny Daylight
RDD-IND-00323,NH-66 KM 45.1,29.0905,77.3923,3,D20_Alligator,0.968,0.164,0.308,0.084,0.06,Night Sodium
RDD-IND-00324,Mumbai-Pune Exp KM 88.0,29.0917,77.3932,1,D00_Longitudinal,0.935,0.288,0.48,0.172,0.157,Overcast
RDD-IND-00325,NH-44 KM 108.4,29.0929,77.3941,4,D40_Pothole,0.994,0.677,0.31,0.144,0.15,Monsoon Rain
RDD-IND-00326,NH-48 KM 214.2,29.0941,77.395,3,D20_Alligator,0.975,0.506,0.351,0.131,0.057,Sunny Daylight
RDD-IND-00327,NH-66 KM 45.1,29.0953,77.3959,3,D20_Alligator,0.959,0.347,0.326,0.085,0.059,Night Sodium
RDD-IND-00328,Mumbai-Pune Exp KM 88.0,29.0965,77.3968,3,D20_Alligator,0.964,0.345,0.754,0.192,0.068,Overcast
RDD-IND-00329,NH-44 KM 108.4,29.0977,77.3977,2,D10_Lateral,0.947,0.274,0.645,0.109,0.073,Monsoon Rain
RDD-IND-00330,NH-48 KM 214.2,29.0989,77.3986,1,D00_Longitudinal,0.932,0.509,0.346,0.272,0.16,Sunny Daylight
RDD-IND-00331,NH-66 KM 45.1,29.1001,77.3995,1,D00_Longitudinal,0.941,0.569,0.587,0.319,0.14,Night Sodium
RDD-IND-00332,Mumbai-Pune Exp KM 88.0,29.1013,77.4004,4,D40_Pothole,0.977,0.432,0.413,0.285,0.184,Overcast
RDD-IND-00333,NH-44 KM 108.4,29.1025,77.4013,0,Normal,0.911,0.263,0.637,0.297,0.089,Monsoon Rain
RDD-IND-00334,NH-48 KM 214.2,29.1037,77.4022,0,Normal,0.92,0.144,0.426,0.301,0.24,Sunny Daylight
RDD-IND-00335,NH-66 KM 45.1,29.1049,77.4031,0,Normal,0.914,0.684,0.448,0.31,0.197,Night Sodium
RDD-IND-00336,Mumbai-Pune Exp KM 88.0,29.1061,77.404,0,Normal,0.914,0.307,0.45,0.129,0.082,Overcast
RDD-IND-00337,NH-44 KM 108.4,29.1073,77.4049,4,D40_Pothole,0.985,0.413,0.719,0.133,0.222,Monsoon Rain
RDD-IND-00338,NH-48 KM 214.2,29.1085,77.4058,3,D20_Alligator,0.972,0.373,0.722,0.139,0.053,Sunny Daylight
RDD-IND-00339,NH-66 KM 45.1,29.1097,77.4067,2,D10_Lateral,0.952,0.549,0.625,0.104,0.113,Night Sodium
RDD-IND-00340,Mumbai-Pune Exp KM 88.0,29.1109,77.4076,0,Normal,0.919,0.415,0.356,0.342,0.067,Overcast
RDD-IND-00341,NH-44 KM 108.4,29.1121,77.4085,2,D10_Lateral,0.953,0.684,0.418,0.125,0.083,Monsoon Rain
RDD-IND-00342,NH-48 KM 214.2,29.1133,77.4094,2,D10_Lateral,0.952,0.465,0.498,0.143,0.136,Sunny Daylight
RDD-IND-00343,NH-66 KM 45.1,29.1145,77.4103,0,Normal,0.925,0.537,0.674,0.331,0.112,Night Sodium
RDD-IND-00344,Mumbai-Pune Exp KM 88.0,29.1157,77.4112,2,D10_Lateral,0.948,0.238,0.559,0.272,0.063,Overcast
RDD-IND-00345,NH-44 KM 108.4,29.1169,77.4121,1,D00_Longitudinal,0.945,0.405,0.509,0.146,0.119,Monsoon Rain
RDD-IND-00346,NH-48 KM 214.2,29.1181,77.413,3,D20_Alligator,0.964,0.565,0.601,0.303,0.103,Sunny Daylight
RDD-IND-00347,NH-66 KM 45.1,29.1193,77.4139,3,D20_Alligator,0.966,0.127,0.494,0.191,0.221,Night Sodium
RDD-IND-00348,Mumbai-Pune Exp KM 88.0,29.1205,77.4148,0,Normal,0.914,0.286,0.574,0.089,0.237,Overcast
RDD-IND-00349,NH-44 KM 108.4,29.1217,77.4157,1,D00_Longitudinal,0.943,0.5,0.561,0.242,0.054,Monsoon Rain
RDD-IND-00350,NH-48 KM 214.2,29.1229,77.4166,3,D20_Alligator,0.965,0.497,0.691,0.312,0.112,Sunny Daylight
RDD-IND-00351,NH-66 KM 45.1,29.1241,77.4175,2,D10_Lateral,0.954,0.47,0.497,0.245,0.109,Night Sodium
RDD-IND-00352,Mumbai-Pune Exp KM 88.0,29.1253,77.4184,4,D40_Pothole,0.985,0.654,0.45,0.081,0.153,Overcast
RDD-IND-00353,NH-44 KM 108.4,29.1265,77.4193,3,D20_Alligator,0.968,0.686,0.559,0.304,0.183,Monsoon Rain
RDD-IND-00354,NH-48 KM 214.2,29.1277,77.4202,0,Normal,0.924,0.552,0.543,0.094,0.088,Sunny Daylight
RDD-IND-00355,NH-66 KM 45.1,29.1289,77.4211,0,Normal,0.916,0.539,0.339,0.321,0.22,Night Sodium
RDD-IND-00356,Mumbai-Pune Exp KM 88.0,29.1301,77.422,3,D20_Alligator,0.967,0.122,0.455,0.286,0.17,Overcast
RDD-IND-00357,NH-44 KM 108.4,29.1313,77.4229,0,Normal,0.912,0.563,0.666,0.254,0.132,Monsoon Rain
RDD-IND-00358,NH-48 KM 214.2,29.1325,77.4238,3,D20_Alligator,0.962,0.135,0.394,0.175,0.228,Sunny Daylight
RDD-IND-00359,NH-66 KM 45.1,29.1337,77.4247,4,D40_Pothole,0.993,0.67,0.75,0.174,0.063,Night Sodium
RDD-IND-00360,Mumbai-Pune Exp KM 88.0,29.1349,77.4256,3,D20_Alligator,0.961,0.674,0.407,0.347,0.093,Overcast
RDD-IND-00361,NH-44 KM 108.4,29.1361,77.4265,1,D00_Longitudinal,0.944,0.507,0.315,0.289,0.19,Monsoon Rain
RDD-IND-00362,NH-48 KM 214.2,29.1373,77.4274,3,D20_Alligator,0.967,0.339,0.372,0.271,0.171,Sunny Daylight
RDD-IND-00363,NH-66 KM 45.1,29.1385,77.4283,2,D10_Lateral,0.95,0.659,0.552,0.1,0.249,Night Sodium
RDD-IND-00364,Mumbai-Pune Exp KM 88.0,29.1397,77.4292,2,D10_Lateral,0.958,0.391,0.71,0.333,0.199,Overcast
RDD-IND-00365,NH-44 KM 108.4,29.1409,77.4301,4,D40_Pothole,0.993,0.448,0.661,0.171,0.14,Monsoon Rain
RDD-IND-00366,NH-48 KM 214.2,29.1421,77.431,1,D00_Longitudinal,0.944,0.521,0.397,0.346,0.215,Sunny Daylight
RDD-IND-00367,NH-66 KM 45.1,29.1433,77.4319,4,D40_Pothole,0.995,0.498,0.573,0.13,0.056,Night Sodium
RDD-IND-00368,Mumbai-Pune Exp KM 88.0,29.1445,77.4328,4,D40_Pothole,0.99,0.39,0.524,0.334,0.072,Overcast
RDD-IND-00369,NH-44 KM 108.4,29.1457,77.4337,0,Normal,0.927,0.665,0.784,0.277,0.189,Monsoon Rain
RDD-IND-00370,NH-48 KM 214.2,29.1469,77.4346,0,Normal,0.916,0.286,0.581,0.269,0.103,Sunny Daylight
RDD-IND-00371,NH-66 KM 45.1,29.1481,77.4355,0,Normal,0.919,0.21,0.709,0.266,0.249,Night Sodium
RDD-IND-00372,Mumbai-Pune Exp KM 88.0,29.1493,77.4364,0,Normal,0.912,0.229,0.418,0.238,0.247,Overcast
RDD-IND-00373,NH-44 KM 108.4,29.1505,77.4373,0,Normal,0.918,0.412,0.653,0.34,0.14,Monsoon Rain
RDD-IND-00374,NH-48 KM 214.2,29.1517,77.4382,3,D20_Alligator,0.97,0.435,0.737,0.202,0.158,Sunny Daylight
RDD-IND-00375,NH-66 KM 45.1,29.1529,77.4391,0,Normal,0.916,0.226,0.386,0.302,0.241,Night Sodium
RDD-IND-00376,Mumbai-Pune Exp KM 88.0,29.1541,77.44,1,D00_Longitudinal,0.938,0.518,0.676,0.154,0.053,Overcast
RDD-IND-00377,NH-44 KM 108.4,29.1553,77.4409,4,D40_Pothole,0.984,0.194,0.602,0.226,0.141,Monsoon Rain
RDD-IND-00378,NH-48 KM 214.2,29.1565,77.4418,0,Normal,0.912,0.138,0.798,0.313,0.241,Sunny Daylight
RDD-IND-00379,NH-66 KM 45.1,29.1577,77.4427,4,D40_Pothole,0.982,0.202,0.743,0.102,0.055,Night Sodium
RDD-IND-00380,Mumbai-Pune Exp KM 88.0,29.1589,77.4436,1,D00_Longitudinal,0.935,0.59,0.532,0.244,0.136,Overcast
RDD-IND-00381,NH-44 KM 108.4,29.1601,77.4445,0,Normal,0.92,0.19,0.499,0.229,0.103,Monsoon Rain
RDD-IND-00382,NH-48 KM 214.2,29.1613,77.4454,3,D20_Alligator,0.971,0.175,0.45,0.331,0.148,Sunny Daylight
RDD-IND-00383,NH-66 KM 45.1,29.1625,77.4463,3,D20_Alligator,0.965,0.364,0.604,0.297,0.191,Night Sodium
RDD-IND-00384,Mumbai-Pune Exp KM 88.0,29.1637,77.4472,4,D40_Pothole,0.987,0.282,0.345,0.158,0.123,Overcast
RDD-IND-00385,NH-44 KM 108.4,29.1649,77.4481,3,D20_Alligator,0.975,0.696,0.483,0.297,0.12,Monsoon Rain
RDD-IND-00386,NH-48 KM 214.2,29.1661,77.449,4,D40_Pothole,0.981,0.519,0.697,0.269,0.076,Sunny Daylight
RDD-IND-00387,NH-66 KM 45.1,29.1673,77.4499,1,D00_Longitudinal,0.935,0.692,0.556,0.219,0.1,Night Sodium
RDD-IND-00388,Mumbai-Pune Exp KM 88.0,29.1685,77.4508,0,Normal,0.926,0.197,0.744,0.11,0.247,Overcast
RDD-IND-00389,NH-44 KM 108.4,29.1697,77.4517,4,D40_Pothole,0.976,0.552,0.372,0.297,0.216,Monsoon Rain
RDD-IND-00390,NH-48 KM 214.2,29.1709,77.4526,4,D40_Pothole,0.981,0.282,0.647,0.259,0.09,Sunny Daylight
RDD-IND-00391,NH-66 KM 45.1,29.1721,77.4535,4,D40_Pothole,0.997,0.395,0.718,0.168,0.197,Night Sodium
RDD-IND-00392,Mumbai-Pune Exp KM 88.0,29.1733,77.4544,2,D10_Lateral,0.946,0.311,0.695,0.288,0.216,Overcast
RDD-IND-00393,NH-44 KM 108.4,29.1745,77.4553,1,D00_Longitudinal,0.943,0.366,0.589,0.165,0.081,Monsoon Rain
